Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,346,13,35 to 44 years,M2,Marina,July,2016,z,email,true,2003,false,5
0,ADULT,40,12,60 to 64 years,S7,Sunset,October,2010,a,print,false,2003,false,4
0,ADULT,3095,976,45 to 54 years,C2,Chinatown,July,2016,p,phone,false,2003,false,3
0,ADULT,3880,1736,60 to 64 years,R3,Richmond,July,2016,p,phone,true,2003,false,9
0,ADULT,418,291,45 to 54 years,C2,Chinatown,July,2016,p,phone,false,2003,false,4
0,ADULT,393,89,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,7
0,ADULT,125,84,45 to 54 years,S7,Sunset,July,2016,z,email,true,2003,false,11
3,SENIOR,15,1,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,8
0,ADULT,14,5,45 to 54 years,W2,West Portal,November,2012,z,email,true,2003,false,7
0,ADULT,10,11,45 to 54 years,M6,Mission,December,2009,z,email,true,2003,false,11
0,ADULT,34,36,45 to 54 years,X,Main Library,November,2015,z,email,true,2003,false,2
3,SENIOR,323,54,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,8
3,SENIOR,5,0,65 to 74 years,M4,Merced,December,2014,a,print,true,2003,false,7
3,SENIOR,157,20,65 to 74 years,X,Main Library,July,2016,p,phone,true,2003,false,11
3,SENIOR,260,73,65 to 74 years,P7,Potrero,February,2016,z,email,true,2003,false,3
0,ADULT,85,77,35 to 44 years,W2,West Portal,September,2015,z,email,true,2003,false,4
0,ADULT,24,37,45 to 54 years,X,Main Library,November,2014,z,email,true,2003,false,4
0,ADULT,5673,208,60 to 64 years,O7,Ortega,July,2016,z,email,true,2003,false,4
0,ADULT,3397,1186,45 to 54 years,G4,Glen Park,July,2016,z,email,true,2003,false,1
0,ADULT,852,903,55 to 59 years,W4,Western Addition,July,2016,z,email,true,2003,false,1
0,ADULT,529,331,45 to 54 years,B4,Bernal Heights,March,2016,z,email,true,2003,false,9
0,ADULT,44,4,45 to 54 years,X,Main Library,October,2015,z,email,true,2003,false,2
0,ADULT,780,135,45 to 54 years,N6,North Beach,May,2016,z,email,true,2003,false,3
3,SENIOR,60,2,65 to 74 years,M6,Mission,February,2015,z,email,true,2003,false,8
0,ADULT,346,682,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,5
0,ADULT,341,45,60 to 64 years,M6,Mission,July,2016,p,phone,true,2003,false,10
3,SENIOR,511,54,65 to 74 years,W2,West Portal,April,2016,z,email,true,2003,false,7
0,ADULT,65,22,60 to 64 years,X,Main Library,May,2016,z,email,true,2003,false,5
3,SENIOR,1775,769,65 to 74 years,O7,Ortega,July,2016,p,phone,false,2003,false,4
0,ADULT,391,277,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,5
0,ADULT,366,37,45 to 54 years,C2,Chinatown,October,2013,p,phone,false,2003,false,3
0,ADULT,1136,3224,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,9
0,ADULT,5158,201,45 to 54 years,O7,Ortega,July,2014,z,email,true,2003,false,9
0,ADULT,337,206,60 to 64 years,R3,Richmond,June,2016,z,email,true,2003,false,1
3,SENIOR,1019,455,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,5
0,ADULT,3728,3640,55 to 59 years,O7,Ortega,July,2016,z,email,true,2003,false,4
0,ADULT,1261,10,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,7
0,ADULT,67,3,35 to 44 years,M6,Mission,April,2016,p,phone,false,2003,false,8
0,ADULT,472,297,35 to 44 years,O7,Ortega,April,2016,z,email,true,2003,false,4
0,ADULT,72,22,45 to 54 years,M4,Merced,September,2014,z,email,true,2003,false,7
3,SENIOR,48,12,65 to 74 years,S7,Sunset,May,2016,z,email,true,2003,false,4
3,SENIOR,3321,259,65 to 74 years,P3,Parkside,July,2016,p,phone,true,2003,false,7
0,ADULT,43,125,60 to 64 years,O7,Ortega,May,2014,p,phone,false,2003,false,4
0,ADULT,256,34,45 to 54 years,R3,Richmond,June,2016,z,email,true,2003,false,1
0,ADULT,7,9,25 to 34 years,W2,West Portal,August,2014,p,phone,false,2003,false,10
0,ADULT,1667,1362,35 to 44 years,I5,Ingleside,May,2016,z,email,true,2003,false,11
0,ADULT,1991,15,55 to 59 years,E9,Excelsior,July,2016,p,phone,false,2003,false,11
0,ADULT,2283,128,60 to 64 years,C2,Chinatown,July,2016,z,email,true,2003,false,10
0,ADULT,798,157,35 to 44 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
0,ADULT,225,3,35 to 44 years,C2,Chinatown,July,2016,a,print,false,2003,false,3
3,SENIOR,2165,1592,65 to 74 years,G4,Glen Park,July,2016,p,phone,false,2003,false,7
0,ADULT,163,22,45 to 54 years,R3,Richmond,July,2016,z,email,true,2003,false,2
0,ADULT,15,10,45 to 54 years,M4,Merced,January,2015,z,email,true,2003,false,9
0,ADULT,532,270,55 to 59 years,M4,Merced,July,2016,z,email,true,2003,false,7
0,ADULT,382,308,60 to 64 years,X,Main Library,March,2015,z,email,true,2003,false,3
0,ADULT,150,150,45 to 54 years,W2,West Portal,December,2014,z,email,true,2003,false,7
3,SENIOR,92,14,65 to 74 years,M2,Marina,May,2016,a,print,false,2003,false,9
0,ADULT,1871,75,45 to 54 years,G4,Glen Park,July,2016,z,email,true,2003,false,7
0,ADULT,8,0,25 to 34 years,M6,Mission,September,2010,z,email,true,2003,false,11
3,SENIOR,476,563,65 to 74 years,B4,Bernal Heights,June,2016,z,email,true,2003,false,9
0,ADULT,190,64,45 to 54 years,X,Main Library,November,2014,z,email,true,2003,false,11
0,ADULT,48,74,35 to 44 years,O7,Ortega,August,2013,z,email,true,2003,false,4
0,ADULT,1433,5,35 to 44 years,M6,Mission,July,2016,z,email,true,2003,false,9
0,ADULT,32,16,55 to 59 years,C2,Chinatown,March,2015,a,print,false,2003,false,11
0,ADULT,13,0,60 to 64 years,W2,West Portal,March,2016,z,email,true,2003,false,7
3,SENIOR,34,1,65 to 74 years,M4,Merced,December,2013,a,print,false,2003,false,7
0,ADULT,728,158,55 to 59 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,p,phone,false,2003,false,8
0,ADULT,358,35,45 to 54 years,X,Main Library,July,2014,z,email,true,2003,false,9
0,ADULT,137,89,45 to 54 years,E9,Excelsior,June,2016,a,print,false,2003,false,11
3,SENIOR,126,49,65 to 74 years,W2,West Portal,July,2016,z,email,true,2003,false,7
3,SENIOR,204,96,65 to 74 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,315,109,60 to 64 years,N4,Noe Valley/Sally Brunn,June,2016,z,email,true,2003,false,8
0,ADULT,15,13,25 to 34 years,X,Main Library,January,2008,z,email,true,2003,false,9
0,ADULT,62,60,35 to 44 years,O2,Ocean View,June,2016,z,email,true,2003,false,11
3,SENIOR,646,18,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,3
3,SENIOR,385,178,65 to 74 years,W2,West Portal,May,2016,z,email,true,2003,false,7
0,ADULT,55,0,45 to 54 years,X,Main Library,May,2016,p,phone,false,2003,false,8
0,ADULT,1,2,35 to 44 years,C2,Chinatown,October,2004,z,email,true,2003,false,10
0,ADULT,9,0,25 to 34 years,O7,Ortega,April,2013,z,email,true,2003,false,4
0,ADULT,11,2,55 to 59 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,83,38,45 to 54 years,G4,Glen Park,April,2015,z,email,true,2003,false,9
0,ADULT,238,24,45 to 54 years,N4,Noe Valley/Sally Brunn,July,2016,p,phone,false,2003,false,7
3,SENIOR,169,149,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,7
0,ADULT,525,76,60 to 64 years,G6,Golden Gate Valley,July,2016,z,email,true,2003,false,2
0,ADULT,211,179,35 to 44 years,N4,Noe Valley/Sally Brunn,October,2015,z,email,true,2003,false,11
0,ADULT,133,2,60 to 64 years,X,Main Library,July,2016,p,phone,false,2003,false,6
3,SENIOR,306,135,65 to 74 years,P7,Potrero,July,2016,z,email,true,2003,false,10
3,SENIOR,55,6,65 to 74 years,G4,Glen Park,June,2016,z,email,true,2003,false,8
3,SENIOR,1309,1899,65 to 74 years,A5,Anza,July,2016,z,email,true,2003,false,1
0,ADULT,191,208,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,April,2015,z,email,true,2003,false,8
0,ADULT,299,245,45 to 54 years,M2,Marina,July,2016,z,email,true,2003,false,2
3,SENIOR,189,27,65 to 74 years,P1,Park,October,2015,p,phone,false,2003,false,1
0,ADULT,196,41,25 to 34 years,I5,Ingleside,April,2013,z,email,true,2003,false,7
0,ADULT,834,264,60 to 64 years,M4,Merced,July,2016,z,email,true,2003,false,7
0,ADULT,956,345,60 to 64 years,S7,Sunset,July,2016,z,email,true,2003,false,4
0,ADULT,37,2,35 to 44 years,P9,Presidio,September,2010,z,email,true,2003,false,1
0,ADULT,2203,776,45 to 54 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,8
0,ADULT,1354,460,45 to 54 years,R3,Richmond,July,2016,z,email,true,2003,false,8
0,ADULT,106,32,25 to 34 years,X,Main Library,July,2014,z,email,true,2003,false,4
0,ADULT,16,20,55 to 59 years,X,Main Library,November,2014,z,email,true,2003,false,9
0,ADULT,89,10,60 to 64 years,E9,Excelsior,September,2013,z,email,true,2003,false,9
0,ADULT,107,120,25 to 34 years,R3,Richmond,May,2016,z,email,true,2003,false,1
0,ADULT,325,129,60 to 64 years,G4,Glen Park,October,2014,z,email,true,2003,false,11
0,ADULT,96,84,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,7
0,ADULT,7,0,60 to 64 years,B4,Bernal Heights,November,2011,p,phone,true,2003,false,8
3,SENIOR,948,1110,65 to 74 years,M4,Merced,July,2016,z,email,true,2003,false,7
0,ADULT,83,21,55 to 59 years,G4,Glen Park,May,2015,p,phone,true,2003,false,1
0,ADULT,240,71,45 to 54 years,C2,Chinatown,September,2013,z,email,true,2003,false,8
3,SENIOR,36,9,65 to 74 years,W2,West Portal,May,2015,p,phone,false,2003,false,8
3,SENIOR,303,229,65 to 74 years,M2,Marina,July,2016,p,phone,false,2003,false,2
0,ADULT,96,35,45 to 54 years,P3,Parkside,November,2009,a,print,false,2003,false,4
0,ADULT,801,1021,60 to 64 years,M6,Mission,July,2016,z,email,true,2003,false,8
0,ADULT,43,104,25 to 34 years,R3,Richmond,July,2016,z,email,true,2003,false,5
0,ADULT,22,0,45 to 54 years,E9,Excelsior,November,2014,z,email,true,2003,false,11
0,ADULT,40,3,45 to 54 years,B4,Bernal Heights,January,2016,z,email,true,2003,false,9
0,ADULT,68,19,60 to 64 years,S7,Sunset,July,2016,z,email,true,2003,false,5
0,ADULT,79,15,45 to 54 years,W2,West Portal,February,2011,z,email,true,2003,false,7
0,ADULT,321,0,55 to 59 years,M6,Mission,July,2016,p,phone,false,2003,false,11
0,ADULT,231,70,60 to 64 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,567,7,45 to 54 years,X,Main Library,March,2014,a,print,false,2003,false,3
0,ADULT,157,83,25 to 34 years,M6,Mission,July,2014,z,email,true,2003,false,8
0,ADULT,154,46,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,2
0,ADULT,1788,139,60 to 64 years,A5,Anza,July,2016,z,email,true,2003,false,1
0,ADULT,2,1,35 to 44 years,X,Main Library,September,2010,z,email,true,2003,false,10
0,ADULT,302,6,35 to 44 years,W2,West Portal,June,2015,z,email,true,2003,false,7
0,ADULT,35,55,60 to 64 years,C2,Chinatown,October,2015,z,email,true,2003,false,11
0,ADULT,91,23,55 to 59 years,R3,Richmond,March,2016,p,phone,false,2003,false,4
3,SENIOR,572,364,65 to 74 years,R3,Richmond,July,2016,z,email,true,2003,false,1
0,ADULT,64,39,35 to 44 years,P3,Parkside,August,2015,z,email,true,2003,false,4
0,ADULT,64,15,60 to 64 years,P9,Presidio,November,2015,a,print,true,2003,false,2
0,ADULT,133,23,55 to 59 years,B2,Bayview/Linda Brooks-Burton,July,2016,z,email,true,2003,false,10
0,ADULT,775,27,45 to 54 years,G4,Glen Park,May,2016,z,email,true,2003,false,8
55,RETIRED STAFF,652,182,55 to 59 years,N4,Noe Valley/Sally Brunn,July,2016,z,email,true,2003,false,8
0,ADULT,218,231,45 to 54 years,O7,Ortega,June,2016,z,email,true,2003,false,4
0,ADULT,164,33,35 to 44 years,P5,Portola,September,2013,z,email,true,2003,false,9
3,SENIOR,1077,217,65 to 74 years,P3,Parkside,July,2016,z,email,true,2003,false,1
0,ADULT,115,75,45 to 54 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,817,788,60 to 64 years,X,Main Library,June,2016,z,email,true,2003,false,1
0,ADULT,1092,761,60 to 64 years,M6,Mission,July,2016,p,phone,false,2003,false,9
0,ADULT,1339,1069,55 to 59 years,O7,Ortega,July,2016,z,email,true,2003,false,4
3,SENIOR,302,135,65 to 74 years,S7,Sunset,July,2016,z,email,true,2003,false,5
0,ADULT,39,63,45 to 54 years,M6,Mission,January,2014,a,print,false,2003,false,8
0,ADULT,3,0,45 to 54 years,C2,Chinatown,November,2014,z,email,true,2003,false,11
0,ADULT,297,376,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,3
0,ADULT,23,11,45 to 54 years,N4,Noe Valley/Sally Brunn,May,2015,p,phone,false,2003,false,9
0,ADULT,56,38,55 to 59 years,M6,Mission,July,2015,p,phone,false,2003,false,10
0,ADULT,177,54,60 to 64 years,R3,Richmond,December,2015,z,email,true,2003,false,1
0,ADULT,225,452,55 to 59 years,W2,West Portal,October,2014,z,email,true,2003,false,7
0,ADULT,60,61,35 to 44 years,W2,West Portal,August,2015,z,email,true,2003,false,7
0,ADULT,1861,1200,45 to 54 years,P3,Parkside,February,2015,z,email,true,2003,false,4
3,SENIOR,1,4,65 to 74 years,X,Main Library,August,2012,p,phone,false,2003,false,8
0,ADULT,104,10,45 to 54 years,X,Main Library,January,2016,z,email,true,2003,false,10
0,ADULT,440,181,25 to 34 years,I5,Ingleside,March,2016,z,email,true,2003,false,11
3,SENIOR,2124,762,65 to 74 years,X,Main Library,July,2016,z,email,true,2003,false,3
3,SENIOR,566,532,65 to 74 years,P3,Parkside,October,2013,z,email,true,2003,false,4
3,SENIOR,16,2,65 to 74 years,X,Main Library,November,2008,z,email,true,2003,false,11
0,ADULT,852,456,60 to 64 years,S7,Sunset,July,2016,z,email,true,2003,false,4
3,SENIOR,4188,2483,65 to 74 years,C2,Chinatown,July,2016,z,email,true,2003,false,3
0,ADULT,459,45,60 to 64 years,A5,Anza,June,2016,z,email,true,2003,false,1
0,ADULT,122,58,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,7
3,SENIOR,884,49,65 to 74 years,P3,Parkside,July,2016,p,phone,false,2003,false,4
0,ADULT,14,0,55 to 59 years,X,Main Library,February,2008,a,print,false,2003,false,8
3,SENIOR,354,21,65 to 74 years,P9,Presidio,May,2016,z,email,true,2003,false,2
0,ADULT,125,31,60 to 64 years,X,Main Library,April,2014,p,phone,false,2003,false,6
0,ADULT,972,1407,45 to 54 years,P3,Parkside,July,2016,z,email,true,2003,false,4
0,ADULT,87,142,60 to 64 years,X,Main Library,September,2015,z,email,true,2003,false,4
0,ADULT,20,8,35 to 44 years,P9,Presidio,November,2013,p,phone,false,2003,false,5
0,ADULT,395,100,60 to 64 years,S7,Sunset,July,2016,z,email,true,2003,false,7
0,ADULT,120,31,60 to 64 years,W2,West Portal,February,2014,z,email,true,2003,false,7
3,SENIOR,93,14,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,9
0,ADULT,775,96,45 to 54 years,P1,Park,July,2016,z,email,true,2003,false,4
3,SENIOR,305,91,65 to 74 years,S7,Sunset,November,2015,p,phone,false,2003,false,4
0,ADULT,68,82,35 to 44 years,X,Main Library,September,2014,z,email,true,2003,false,9
0,ADULT,86,14,35 to 44 years,B2,Bayview/Linda Brooks-Burton,July,2015,z,email,true,2003,false,10
0,ADULT,1451,176,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,1
0,ADULT,1434,266,45 to 54 years,W2,West Portal,June,2016,z,email,true,2003,false,7
0,ADULT,30,1,55 to 59 years,X,Main Library,August,2009,p,phone,false,2003,false,6
0,ADULT,676,829,35 to 44 years,R3,Richmond,July,2016,z,email,true,2003,false,1
3,SENIOR,238,184,65 to 74 years,S7,Sunset,June,2016,p,phone,false,2003,false,7
3,SENIOR,379,235,65 to 74 years,S7,Sunset,October,2013,z,email,true,2003,false,7
0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,true,2016,true,
0,ADULT,116,73,60 to 64 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,true,2003,false,8
0,ADULT,9,3,45 to 54 years,X,Main Library,October,2014,p,phone,false,2003,false,9
0,ADULT,8,4,25 to 34 years,I5,Ingleside,February,2013,z,email,true,2003,false,10
0,ADULT,423,34,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,11
3,SENIOR,393,78,65 to 74 years,G4,Glen Park,July,2016,z,email,true,2003,false,8
0,ADULT,129,15,55 to 59 years,X,Main Library,August,2014,z,email,true,2003,false,5
3,SENIOR,1807,1618,65 to 74 years,S7,Sunset,July,2016,z,email,true,2003,false,5
3,SENIOR,5,2,65 to 74 years,P3,Parkside,October,2015,a,print,false,2003,false,4
0,ADULT,63,51,45 to 54 years,X,Main Library,September,2015,z,email,true,2003,false,1
0,ADULT,431,273,35 to 44 years,E9,Excelsior,July,2016,z,email,true,2003,false,11
0,ADULT,50,16,45 to 54 years,W2,West Portal,March,2014,z,email,true,2003,false,7
0,ADULT,14,2,45 to 54 years,G4,Glen Park,June,2016,z,email,true,2003,false,7
0,ADULT,27,49,45 to 54 years,E9,Excelsior,January,2016,z,email,true,2003,false,9
0,ADULT,109,14,55 to 59 years,P9,Presidio,October,2014,z,email,true,2003,false,2
0,ADULT,89,54,60 to 64 years,M4,Merced,July,2016,z,email,true,2003,false,7
3,SENIOR,616,430,65 to 74 years,P7,Potrero,July,2016,z,email,true,2003,false,10
0,ADULT,10,1,55 to 59 years,X,Main Library,March,2016,z,email,true,2003,false,8
0,ADULT,167,5,35 to 44 years,M6,Mission,May,2014,p,phone,false,2003,false,9
0,ADULT,64,13,55 to 59 years,M6,Mission,June,2010,z,email,true,2003,false,9
3,SENIOR,107,33,65 to 74 years,G4,Glen Park,December,2013,z,email,true,2003,false,11
3,SENIOR,115,9,65 to 74 years,X,Main Library,June,2016,z,email,true,2003,false,5
0,ADULT,40,58,45 to 54 years,I5,Ingleside,January,2016,p,phone,false,2003,false,7
0,ADULT,272,274,55 to 59 years,X,Main Library,July,2016,p,phone,false,2003,false,10
0,ADULT,154,62,55 to 59 years,M2,Marina,August,2015,z,email,true,2003,false,2
0,ADULT,834,1120,45 to 54 years,S7,Sunset,July,2016,z,email,true,2003,false,5
0,ADULT,17,3,60 to 64 years,M4,Merced,April,2016,z,email,true,2003,false,9
3,SENIOR,3707,389,65 to 74 years,R3,Richmond,July,2016,z,email,true,2003,false,1
0,ADULT,3,2,45 to 54 years,B4,Bernal Heights,February,2014,z,email,true,2003,false,9
0,ADULT,114,84,45 to 54 years,X,Main Library,July,2015,z,email,true,2003,false,1
0,ADULT,503,578,60 to 64 years,M4,Merced,July,2016,z,email,true,2003,false,7
3,SENIOR,48,24,65 to 74 years,M6,Mission,February,2016,z,email,true,2003,false,8
0,ADULT,773,410,45 to 54 years,O7,Ortega,July,2016,z,email,true,2003,false,4
0,ADULT,57,52,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,6
0,ADULT,549,353,55 to 59 years,W2,West Portal,July,2016,z,email,true,2003,false,7
0,ADULT,468,222,60 to 64 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,p,phone,true,2003,false,8
0,ADULT,319,180,45 to 54 years,W2,West Portal,August,2015,z,email,true,2003,false,7
3,SENIOR,2249,12,65 to 74 years,X,Main Library,July,2016,a,print,false,2003,false,6
0,ADULT,89,34,45 to 54 years,X,Main Library,December,2015,z,email,true,2003,false,7
3,SENIOR,1790,3370,65 to 74 years,N4,Noe Valley/Sally Brunn,July,2016,p,phone,false,2003,false,8
0,ADULT,679,1669,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,8
3,SENIOR,188,19,65 to 74 years,W2,West Portal,August,2015,z,email,true,2003,false,7
0,ADULT,70,38,60 to 64 years,X,Main Library,July,2015,z,email,true,2003,false,8
0,ADULT,706,58,35 to 44 years,W2,West Portal,May,2016,z,email,true,2003,false,7
0,ADULT,267,435,35 to 44 years,P5,Portola,June,2016,z,email,true,2003,false,10
0,ADULT,726,965,45 to 54 years,A5,Anza,February,2016,z,email,true,2003,false,4
0,ADULT,45,32,55 to 59 years,A5,Anza,March,2014,z,email,true,2003,false,1
0,ADULT,4,8,35 to 44 years,X,Main Library,July,2015,z,email,true,2003,false,5
3,SENIOR,252,169,65 to 74 years,B4,Bernal Heights,July,2016,z,email,true,2003,false,9
0,ADULT,444,15,60 to 64 years,X,Main Library,February,2013,z,email,true,2003,false,11
3,SENIOR,211,114,65 to 74 years,G4,Glen Park,July,2016,z,email,true,2003,false,8
0,ADULT,135,73,35 to 44 years,C2,Chinatown,July,2016,z,email,true,2003,false,10
0,ADULT,57,12,60 to 64 years,R3,Richmond,July,2016,z,email,true,2003,false,1
3,SENIOR,2335,283,65 to 74 years,P3,Parkside,December,2015,z,email,true,2003,false,4
0,ADULT,54,58,55 to 59 years,A5,Anza,June,2016,z,email,true,2003,false,1
3,SENIOR,309,110,65 to 74 years,X,Main Library,July,2016,p,phone,false,2003,false,5
0,ADULT,274,607,55 to 59 years,A5,Anza,June,2016,z,email,true,2003,false,1
0,ADULT,546,702,55 to 59 years,S7,Sunset,March,2016,z,email,true,2003,false,7
0,ADULT,230,27,55 to 59 years,X,Main Library,July,2016,z,email,true,2003,false,2
3,SENIOR,246,95,65 to 74 years,M2,Marina,June,2016,z,email,true,2003,false,2
3,SENIOR,18,13,65 to 74 years,S7,Sunset,February,2016,z,email,true,2003,false,7
3,SENIOR,419,289,65 to 74 years,I5,Ingleside,July,2016,z,email,true,2003,false,7
0,ADULT,1262,101,60 to 64 years,S7,Sunset,July,2016,z,email,true,2003,false,8
0,ADULT,174,38,45 to 54 years,X,Main Library,June,2016,z,email,true,2003,false,8
0,ADULT,9,2,60 to 64 years,M2,Marina,October,2013,z,email,true,2003,false,2
0,ADULT,107,93,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,10
0,ADULT,537,995,60 to 64 years,X,Main Library,July,2016,z,email,true,2003,false,3
