Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
0,ADULT,3072,1391,45 to 54 years,X,Main Library,July,2016,z,email,true,2003,false,2
0,ADULT,10,2,45 to 54 years,X,Main Library,July,2016,z,email,true,2016,false,5
0,ADULT,56,27,20 to 24 years,P3,Parkside,August,2015,z,email,true,2003,false,4
0,ADULT,178,159,35 to 44 years,W2,West Portal,July,2013,z,email,true,2008,false,
0,ADULT,1372,1122,60 to 64 years,O7,Ortega,July,2016,a,print,false,2003,false,11
0,ADULT,60,8,25 to 34 years,S7,Sunset,July,2016,z,email,true,2008,false,5
0,ADULT,1,1,35 to 44 years,S7,Sunset,May,2016,p,phone,false,2003,false,4
3,SENIOR,79,105,65 to 74 years,W2,West Portal,March,2016,z,email,true,2003,false,7
3,SENIOR,0,0,65 to 74 years,M6,Mission,None,None,z,email,true,2012,false,2
4,WELCOME,59,7,45 to 54 years,X,Main Library,November,2008,z,email,true,2003,false,6
0,ADULT,51,24,35 to 44 years,X,Main Library,September,2014,z,email,true,2007,true,
0,ADULT,93,5,55 to 59 years,B4,Bernal Heights,February,2013,z,email,true,2003,false,9
0,ADULT,140,119,45 to 54 years,N6,North Beach,July,2015,p,phone,false,2003,false,3
0,ADULT,68,32,45 to 54 years,N6,North Beach,November,2013,z,email,true,2008,false,3
0,ADULT,1,0,25 to 34 years,B2,Bayview/Linda Brooks-Burton,March,2015,z,email,true,2015,false,10
0,ADULT,1716,1996,55 to 59 years,M4,Merced,July,2016,z,email,true,2003,false,7
0,ADULT,1086,425,35 to 44 years,C2,Chinatown,July,2016,p,phone,false,2003,false,11
0,ADULT,5,9,20 to 24 years,R3,Richmond,December,2015,z,email,true,2010,false,8
0,ADULT,4,0,25 to 34 years,P9,Presidio,April,2016,z,email,true,2015,false,2
0,ADULT,48,36,55 to 59 years,X,Main Library,June,2016,z,email,true,2011,false,11
0,ADULT,18,7,25 to 34 years,X,Main Library,September,2015,z,email,true,2010,false,3
0,ADULT,871,137,45 to 54 years,O7,Ortega,July,2016,z,email,true,2003,false,4
0,ADULT,18,24,35 to 44 years,X,Main Library,December,2012,z,email,true,2008,false,6
0,ADULT,2,1,25 to 34 years,M6,Mission,June,2015,z,email,true,2015,true,
0,ADULT,0,0,25 to 34 years,M6,Mission,April,2014,z,email,true,2014,false,8
0,ADULT,0,0,25 to 34 years,N6,North Beach,February,2016,z,email,true,2014,false,3
